# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.308428235573702025e+00 7.083142483623772190e-01 1.974127260839377007e-02 4.285480054587396948e-02 3.532105549580409620e-03 3.292411878406358017e-02
3.310809723755186340e+00 7.082857564045071941e-01 1.972631884217410786e-02 4.283661176271875287e-02 3.564658659310643470e-03 3.290435292288141494e-02
3.313192926190555720e+00 7.082572844958392455e-01 1.971138026544440661e-02 4.281841355412066563e-02 3.597138958012844126e-03 3.288461712112151353e-02
3.315577844113772876e+00 7.082288326217960339e-01 1.969645687088048339e-02 4.280020593806999757e-02 3.629546508519729785e-03 3.286491134383685148e-02
3.317964478759689584e+00 7.082004007677993318e-01 1.968154865115812058e-02 4.278198893255703850e-02 3.661881373664029483e-03 3.284523555608034884e-02
3.320352831364042689e+00 7.081719889192716888e-01 1.966665559895316301e-02 4.276376255557211986e-02 3.694143616278396363e-03 3.282558972290501587e-02
3.322742903163463435e+00 7.081435970616352105e-01 1.965177770694135836e-02 4.274552682510547597e-02 3.726333299195599361e-03 3.280597380936374485e-02
3.325134695395468576e+00 7.081152251803121134e-01 1.963691496779855841e-02 4.272728175914747295e-02 3.758450485248286416e-03 3.278638778050955299e-02
3.327528209298469264e+00 7.080868732607247251e-01 1.962206737420054206e-02 4.270902737568835206e-02 3.790495237269211719e-03 3.276683160139535339e-02
3.329923446111767049e+00 7.080585412882950402e-01 1.960723491882311598e-02 4.269076369271843779e-02 3.822467618091065708e-03 3.274730523707410773e-02
3.332320407075553881e+00 7.080302292484458304e-01 1.959241759434210417e-02 4.267249072822805467e-02 3.854367690546541426e-03 3.272780865259882627e-02
3.334719093430917436e+00 7.080019371265985351e-01 1.957761539343328208e-02 4.265420850020745780e-02 3.886195517468366608e-03 3.270834181302239435e-02
3.337119506419835346e+00 7.079736649081758149e-01 1.956282830877247719e-02 4.263591702664697169e-02 3.917951161689229959e-03 3.268890468339780836e-02
3.339521647285182304e+00 7.079454125785999974e-01 1.954805633303547882e-02 4.261761632553687229e-02 3.949634686041856614e-03 3.266949722877801610e-02
3.341925517270725177e+00 7.079171801232932992e-01 1.953329945889809710e-02 4.259930641486747716e-02 3.981246153358933976e-03 3.265011941421597230e-02
3.344331117621127891e+00 7.078889675276773819e-01 1.951855767903612829e-02 4.258098731262906916e-02 4.012785626473179372e-03 3.263077120476463866e-02
3.346738449581950992e+00 7.078607747771753500e-01 1.950383098612538599e-02 4.256265903681195201e-02 4.044253168217317937e-03 3.261145256547695603e-02
